Vuosi,Viikko,Miljoonavoitot kierroksella,Muistiinpanot:
2018,43,5,Veikkaus tarjoaa datan euroissa. Markka-ajan eurot ovat käännetty kertoimella 168187. Eli Markka-ajan 168186 euron voitto on merkinnyt miljoonavoittoa markoissa.
2018,41,1,
2018,37,1,
2018,35,2,
2018,34,2,
2018,29,1,
2018,27,2,
2018,12,1,
2018,10,1,
2018,6,9,
2018,30,1,
2018,26,4,
2018,25,11,
2018,23,5,
2018,22,3,
2018,21,4,
2018,14,1,
2018,7,1,
2018,5,7,
2018,4,2,
2018,2,1,
Vuosi 2018,Yhteensä,65,Vasemmalla filtteröinti per vuosi. Viikottainen eli kierroskohtainen data löytyy taulukosta avaamalla kaikki rivit näkyviin.
2017,47,3,
2017,46,1,
2017,45,1,
2017,42,1,
2017,37,2,
2017,33,1,
2017,27,1,
2017,21,1,
2017,15,1,
2017,6,2,
2017,1,5,
2017,52,1,
2017,51,2,
2017,43,1,
2017,40,1,
2017,38,1,
2017,32,2,
2017,18,2,
Vuosi 2017,Yhteensä,29,
2016,42,1,
2016,41,9,
2016,30,1,
2016,19,2,
2016,18,1,
2016,16,1,
2016,12,1,
2016,3,2,
2016,53,1,
2016,52,5,
2016,40,2,
2016,39,1,
2016,33,1,
2016,32,2,
2016,28,1,
2016,25,1,
2016,13,1,
2016,7,1,
2016,5,1,
2016,2,1,
Vuosi 2016,Yhteensä,36,
2015,46,2,
2015,41,2,
2015,36,1,
2015,30,1,
2015,23,2,
2015,20,4,
2015,8,1,
2015,50,1,
2015,47,1,
2015,44,1,
2015,42,1,
2015,39,1,
2015,26,1,
2015,25,1,
2015,19,2,
2015,18,1,
2015,14,2,
2015,7,3,
Vuosi 2015,Yhteensä,28,
2014,52,1,
2014,49,3,
2014,40,1,
2014,37,1,
2014,25,1,
2014,20,1,
2014,14,1,
2014,2,1,
Vuosi 2014,Yhteensä,10,
2013,49,1,
2013,42,1,
2013,39,1,
2013,33,1,
2013,29,1,
2013,18,1,
2013,15,1,
2013,4,1,
Vuosi 2013,Yhteensä,8,
2012,43,1,
2012,34,1,
2012,19,1,
2012,32,1,
Vuosi 2012,Yhteensä,4,
Vuodet 2012-2018,Yhteensä,180,
